iso2;iso3;isonr;language;name
MS;MSR;500;en-MS;English (MS)
MT;MLT;470;mt;Maltese
MT;MLT;470;en-MT;English (MT)
MU;MUS;480;bho;Bhojpuri
MU;MUS;480;en-MU;English (MU)
MU;MUS;480;fr;French
MV;MDV;462;dv;Dhivehi
MV;MDV;462;en;English
MW;MWI;454;ny;Nyanja
MW;MWI;454;swk;Malawi Sena
MW;MWI;454;tum;Tumbuka
MW;MWI;454;yao;Yao
MX;MEX;484;es-MX;Spanish\Castilian (MX)
MY;MYS;458;ms-MY;Malay (MY)
MY;MYS;458;en;English
MY;MYS;458;zh;Chinese
MY;MYS;458;ta;Tamil
MY;MYS;458;te;Telugu
MY;MYS;458;ml;Malayalam
MY;MYS;458;pa;Panjabi\Punjabi
MY;MYS;458;th;Thai
MZ;MOZ;508;pt-MZ;Portuguese (MZ)
MZ;MOZ;508;vmw;Makhuwa
NA;NAM;516;hz;Herero
NA;NAM;516;en-NA;English (NA)
NA;NAM;516;af;Afrikaans
NA;NAM;516;de;German
NA;NAM;516;naq;Khoekhoe, Nama (Namibia)
NC;NCL;540;fr-NC;French (NC)
NE;NER;562;kr;Kanuri
NE;NER;562;fr-NE;French (NE)
NE;NER;562;ha;Hausa
NE;NER;562;dje;Zarma
NF;NFK;574;en-NF;English (NF)
NG;NGA;566;en-NG;English (NG)
NG;NGA;566;ha;Hausa
NG;NGA;566;yo;Yoruba
NG;NGA;566;ig;Igbo
NG;NGA;566;ff;Fulah
NI;NIC;558;es-NI;Spanish\Castilian (NI)
NI;NIC;558;en;English
NL;NLD;528;nl-NL;Dutch (NL)
NL;NLD;528;fy-NL;Western Frisian
NO;NOR;578;nb;Bokmal, Norwegian
NO;NOR;578;nn;Nynorsk, Norwegian
NO;NOR;578;se;Northern Sami
NO;NOR;578;fi;Finnish
NO;NOR;578;no;Norwegian
NP;NPL;524;ne;Nepali
NP;NPL;524;en;English
NR;NRU;520;en-NR;English (NR)
NR;NRU;520;na;Nauru
NU;NIU;570;en-NU;English (NU)
NU;NIU;570;niu;Niuean
NZ;NZL;554;en-NZ;English (NZ)
NZ;NZL;554;mi;Maori
OM;OMN;512;bal;Baluchi
OM;OMN;512;ar-OM;Arabic (OM)
OM;OMN;512;en;English
OM;OMN;512;ur;Urdu
PA;PAN;591;es-PA;Spanish\Castilian (PA)
PA;PAN;591;en;English
PE;PER;604;ay;Aymara
PE;PER;604;es-PE;Spanish\Castilian (PE)
PE;PER;604;qu;Quechua
PF;PYF;258;fr-PF;French (PF)
PF;PYF;258;ty;Tahitian
PG;PNG;598;ho;Ahom
PG;PNG;598;meu;Motu
PG;PNG;598;en-PG;English (PG)
PG;PNG;598;tpi;Tok Pisin
PH;PHL;608;en-PH;English (PH)
PH;PHL;608;fil;Filipino, Pilipino
PH;PHL;608;tl;Tagalog
PK;PAK;586;brh;Brahui
PK;PAK;586;ur-PK;Urdu
PK;PAK;586;en-PK;English (PK)
PK;PAK;586;pa;Panjabi\Punjabi
PK;PAK;586;sd;Sindhi
PK;PAK;586;ps;Pushto\Pashto
PL;POL;616;pl;Polish
PM;SPM;666;fr-PM;French (PM)
PN;PCN;612;en-PN;English (PN)
PR;PRI;630;en-PR;English (PR)
PR;PRI;630;es-PR;Spanish\Castilian (PR)
PS;PSE;275;ar-PS;Arabic (PS)
PT;PRT;620;pt-PT;Portuguese (PT)
PT;PRT;620;mwl;Mirandese
PW;PLW;585;en-PW;English (PW)
PW;PLW;585;ja;Japanese
PW;PLW;585;fil;Filipino, Pilipino
PW;PLW;585;zh;Chinese
PW;PLW;585;pau;Palauan
PW;PLW;585;sov;Sonsorol
PW;PLW;585;tox;Tobian
PY;PRY;600;gn;Guarani
PY;PRY;600;es-PY;Spanish\Castilian (PY)
QA;QAT;634;ar-QA;Arabic (QA)
QA;QAT;634;es;Spanish\Castilian
RE;REU;638;fr-RE;French (RE)
RO;ROU;642;ro;Romanian\Moldavian\Moldovan
RO;ROU;642;hu;Hungarian
RO;ROU;642;ro;Romanian\Moldavian\Moldovan
RS;SRB;688;sr;Serbian
RS;SRB;688;hu;Hungarian
RS;SRB;688;bs;Bosnian
RS;SRB;688;ro;Romanian\Moldavian\Moldovan
RU;RUS;643;ady;Adyghe
RU;RUS;643;av;Avaric
RU;RUS;643;ba;Bashkir
RU;RUS;643;bua;Buriat
RU;RUS;643;cau;Caucasian languages
RU;RUS;643;chm;Mari
RU;RUS;643;cv;Chuvash
RU;RUS;643;inh;Ingush
RU;RUS;643;kbd;Kabardian
RU;RUS;643;krc;Karachay-Balkar
RU;RUS;643;kv;Komi
RU;RUS;643;mdf;Moksha
RU;RUS;643;mns;Mansi
RU;RUS;643;myv;Erzya
RU;RUS;643;no-IS;Norwegian (IS)
RU;RUS;643;no-SJ;Norwegian (SJ)
RU;RUS;643;nog;Nogai
RU;RUS;643;ce;Chechen
RU;RUS;643;sah;Yakut
RU;RUS;643;tut;Altaic languages
RU;RUS;643;tut;Altaic languages
RU;RUS;643;tyv;Tuvinian
RU;RUS;643;udm;Udmurt
RU;RUS;643;xal;Kalmyk
RW;RWA;646;rw;Kinyarwanda
RW;RWA;646;en-RW;English (RW)
RW;RWA;646;fr-RW;French (RW)
RW;RWA;646;sw;Swahili
SA;SAU;682;ar-SA;Arabic (SA)
SB;SLB;90;en-SB;English (SB)
SB;SLB;90;tpi;Tok Pisin
SC;SYC;690;en-SC;English (SC)
SC;SYC;690;fr-SC;French (SC)
SD;SDN;729;fia;Nobiin
SD;SDN;729;ar-SD;Arabic (SD)
SD;SDN;729;en;English
SE;SWE;752;fi-SE;Finnish (SE)
SE;SWE;752;sv-SE;Swedish
SE;SWE;752;se;Northern Sami
SE;SWE;752;sma;Southern Sami
SG;SGP;702;cmn;Mandarin Chinese
SG;SGP;702;en-SG;English (SG)
SG;SGP;702;ms-SG;Malay (SG)
SG;SGP;702;ta-SG;Tamil (SG)
SG;SGP;702;zh-SG;Chinese (SG)
SH;SHN;654;en-SH;English (SH)
SI;SVN;705;sl;Slovenian
SJ;SJM;744;no-SJ;Norwegian (SJ)
SJ;SJM;744;ru;Russian
SK;SVK;703;sk;Slovak
SK;SVK;703;hu;Hungarian
SL;SLE;694;men;Mende
SL;SLE;694;en-SL;English (SL)
SL;SLE;694;tem;Timne
SM;SMR;674;it-SM;Italian (SM)
SN;SEN;686;fuc;Pulaar
SN;SEN;686;mnk;Mandinka
SN;SEN;686;fr-SN;French (SN)
SN;SEN;686;wo;Wolof
SO;SOM;706;en-SO;English (SO)
SO;SOM;706;so-SO;Somali
SO;SOM;706;ar-SO;Arabic (SO)
SO;SOM;706;it;Italian
SR;SUR;740;hns;Caribbean Hindustani
SR;SUR;740;srn;Sranan Tongo
SR;SUR;740;nl-SR;Dutch (SR)
SR;SUR;740;en;English
SR;SUR;740;jv;Javanese
SS;SSD;728;en;English
ST;STP;678;pt-ST;Portuguese (ST)
SV;SLV;222;es-SV;Spanish\Castilian (SV)
SX;SXM;534;nl;Dutch
SX;SXM;534;en;English
SY;SYR;760;arc;Imperial Aramaic 
SY;SYR;760;ar-SY;Arabic (SY)
SY;SYR;760;ku;Kurdish
SY;SYR;760;hy;Armenian
SY;SYR;760;fr;French
SY;SYR;760;en;English
SZ;SWZ;748;ss-SZ;Swati (SZ)
SZ;SWZ;748;en-SZ;English (SZ)
TC;TCA;796;en-TC;English (TC)
TD;TCD;148;sre;Sara
TD;TCD;148;fr-TD;French (TD)
TD;TCD;148;ar-TD;Arabic (TD)
TF;ATF;260;fr;French
TG;TGO;768;dag;Dagbani
TG;TGO;768;hna;Mina (Cameroon)
TG;TGO;768;kbp;Kabiyè
TG;TGO;768;fr-TG;French (TG)
TG;TGO;768;ee;Ewe
TG;TGO;768;ha;Hausa
TH;THA;764;th;Thai
TH;THA;764;en;English
TJ;TJK;762;tg;Tajik
TJ;TJK;762;ru;Russian
TK;TKL;772;tkl;Tokelau
TK;TKL;772;en-TK;English (TK)
TL;TLS;626;tet;Tetum
TL;TLS;626;pt-TL;Portuguese (TL)
TL;TLS;626;id;Indonesian
TL;TLS;626;en;English
TM;TKM;795;tk;Turkmen
TM;TKM;795;ru;Russian
TM;TKM;795;uz;Uzbek
TN;TUN;788;ar-TN;Arabic (TN)
TN;TUN;788;fr;French
TO;TON;776;to;Tonga (Tonga Islands)
TO;TON;776;en-TO;English (TO)
TR;TUR;792;av;Avaric
TR;TUR;792;diq;Dimli
TR;TUR;792;tr-TR;Turkish
TR;TUR;792;ku;Kurdish
TR;TUR;792;az;Azerbaijani
TT;TTO;780;hns;Caribbean Hindustani
TT;TTO;780;en-TT;English (TT)
TT;TTO;780;fr;French
TT;TTO;780;es;Spanish\Castilian
TT;TTO;780;zh;Chinese
TV;TUV;798;gil;Gilbertese
TV;TUV;798;sm;Samoan
TV;TUV;798;en;English
TV;TUV;798;tvl;Tuvalu
TW;TWN;158;hak;Hakka Chinese
TW;TWN;158;nan;Min Nan Chinese
TW;TWN;158;zh-TW;Chinese (TW)
TW;TWN;158;zh;Chinese
TZ;TZA;834;sw-TZ;Swahili (TZ)
TZ;TZA;834;en;English
TZ;TZA;834;ar;Arabic
UA;UKR;804;ro;Romanian\Moldavian\Moldovan
UA;UKR;804;uk;Ukrainian
UA;UKR;804;ru-UA;Russian
UA;UKR;804;pl;Polish
UA;UKR;804;hu;Hungarian
UG;UGA;800;en-UG;English (UG)
UG;UGA;800;lg;Ganda
UG;UGA;800;sw;Swahili
UG;UGA;800;ar;Arabic
UM;UMI;581;en-UM;English (UM)
US;USA;840;en-US;English (US)
US;USA;840;es-US;Spanish\Castilian (US)
US;USA;840;haw;Hawaiian
US;USA;840;fr;French
UY;URY;858;es-UY;Spanish\Castilian (UY)
UZ;UZB;860;uz;Uzbek
UZ;UZB;860;ru;Russian
UZ;UZB;860;tg;Tajik
VA;VAT;336;la;Latin
VA;VAT;336;it;Italian
VA;VAT;336;fr;French
VC;VCT;670;en-VC;English (VC)
VC;VCT;670;fr;French
VE;VEN;862;es-VE;Spanish\Castilian (VE)
VG;VGB;92;en-VG;English (VG)
VI;VIR;850;en-VI;English (VI)
VN;VNM;704;vi;Vietnamese
VN;VNM;704;en;English
VN;VNM;704;fr;French
VN;VNM;704;zh;Chinese
VN;VNM;704;km;Central Khmer
VU;VUT;548;bi;Bislama
VU;VUT;548;en-VU;English (VU)
VU;VUT;548;fr-VU;French (VU)
WF;WLF;876;fud;East Futuna
WF;WLF;876;fr-WF;French (WF)
WF;WLF;876;wls;Wallisian
WS;WSM;882;sm;Samoan
WS;WSM;882;en-WS;English (WS)
YE;YEM;887;ar-YE;Arabic (YE)
YT;MYT;175;fr-YT;French (YT)
ZA;ZAF;710;nr;South Ndebele
ZA;ZAF;710;nso;Northern Sotho
ZA;ZAF;710;ss;Swati
ZA;ZAF;710;st;Sotho, Southern
ZA;ZAF;710;tn;Tswana
ZA;ZAF;710;ts;Tsonga
ZA;ZAF;710;zu;Zulu
ZA;ZAF;710;xh;Xhosa
ZA;ZAF;710;af;Afrikaans
ZA;ZAF;710;en-ZA;English (ZA)
ZA;ZAF;710;ve;Venda
ZM;ZMB;894;loz;Loz
ZM;ZMB;894;lue;Luvale
ZM;ZMB;894;lun;Lunda
ZM;ZMB;894;ny;Nyanja
ZM;ZMB;894;toi;Tonga (ZM)
ZM;ZMB;894;en-ZM;English (ZM)
ZM;ZMB;894;bem;Bemba
ZW;ZWE;716;nr;South Ndebele
ZW;ZWE;716;en-ZW;English (ZW)
ZW;ZWE;716;sn;Shona
ZW;ZWE;716;nd;Ndebele, North
